ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60601,44,10/25/2020,10/31/2020,37,322,252,2194.2,572,8775,3898,59795.6,0.1,0,0,7,0,47.7,14675,60601-44,POINT (-87.622844 41.886262)
60601,45,11/01/2020,11/07/2020,59,381,402,2596.3,566,9341,3857,63652.5,0.1,0,0,7,0,47.7,14675,60601-45,POINT (-87.622844 41.886262)
60601,46,11/08/2020,11/14/2020,55,436,375,2971,617,9958,4204,67856.9,0.1,0,0,7,0,47.7,14675,60601-46,POINT (-87.622844 41.886262)
60602,44,10/25/2020,10/31/2020,3,34,241,2733.1,65,974,5225,78295.8,0,0,0,0,0,0,1244,60602-44,POINT (-87.628309 41.883136)
60602,45,11/01/2020,11/07/2020,8,42,643,3376.2,71,1045,5707,84003.2,0.1,0.1,0,0,0,0,1244,60602-45,POINT (-87.628309 41.883136)
60602,46,11/08/2020,11/14/2020,3,45,241,3617.4,55,1100,4421,88424.4,0.1,0.1,0,0,0,0,1244,60602-46,POINT (-87.628309 41.883136)
60603,44,10/25/2020,10/31/2020,3,18,256,1533.2,38,605,3237,51533.2,0.1,0,0,0,0,0,1174,60603-44,POINT (-87.625473 41.880112)
60603,45,11/01/2020,11/07/2020,0,18,0,1533.2,41,646,3492,55025.6,0,0,0,0,0,0,1174,60603-45,POINT (-87.625473 41.880112)
60603,46,11/08/2020,11/14/2020,4,22,341,1873.9,47,693,4003,59029,0.1,0,0,0,0,0,1174,60603-46,POINT (-87.625473 41.880112)
60604,44,10/25/2020,10/31/2020,5,40,639,5115.1,38,655,4859,83759.6,0.1,0.1,0,0,0,0,782,60604-44,POINT (-87.629029 41.878153)
60604,45,11/01/2020,11/07/2020,9,49,1151,6266,55,710,7033,90792.8,0.2,0.1,0,0,0,0,782,60604-45,POINT (-87.629029 41.878153)
60604,46,11/08/2020,11/14/2020,5,54,639,6905.4,42,752,5371,96163.7,0.2,0.1,0,0,0,0,782,60604-46,POINT (-87.629029 41.878153)
60605,44,10/25/2020,10/31/2020,80,619,291,2249.4,1174,14973,4266,54409.7,0.1,0,0,5,0,18.2,27519,60605-44,POINT (-87.623449 41.867824)
60605,45,11/01/2020,11/07/2020,106,725,385,2634.5,1185,16158,4306,58715.8,0.1,0,0,5,0,18.2,27519,60605-45,POINT (-87.623449 41.867824)
60605,46,11/08/2020,11/14/2020,104,829,378,3012.5,1125,17283,4088,62803.9,0.1,0,0,5,0,18.2,27519,60605-46,POINT (-87.623449 41.867824)
60606,44,10/25/2020,10/31/2020,12,105,387,3386,176,3418,5676,110222.5,0.1,0.1,0,1,0,32.2,3101,60606-44,POINT (-87.63676 41.882634)
60606,45,11/01/2020,11/07/2020,20,125,645,4031,183,3601,5901,116123.8,0.1,0.1,0,1,0,32.2,3101,60606-45,POINT (-87.63676 41.882634)
60606,46,11/08/2020,11/14/2020,20,145,645,4675.9,170,3771,5482,121605.9,0.1,0.1,0,1,0,32.2,3101,60606-46,POINT (-87.63676 41.882634)
