ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60601,10,03/01/2020,03/07/2020,2.5,NA,17.035775127768314,NA,1,1,7,6.8,0,0,0,0,0,0,14675,60601-10,POINT (-87.622844 41.886262)
60601,11,03/08/2020,03/14/2020,2.5,NA,17.035775127768314,NA,5,6,34,40.9,0,0,0,0,0,0,14675,60601-11,POINT (-87.622844 41.886262)
60601,12,03/15/2020,03/21/2020,10,14,68,95.4,31,37,211,252.1,0.2,0.2,0,0,0,0,14675,60601-12,POINT (-87.622844 41.886262)
60601,13,03/22/2020,03/28/2020,9,23,61,156.7,36,73,245,497.4,0.2,0.2,0,0,0,0,14675,60601-13,POINT (-87.622844 41.886262)
60601,14,03/29/2020,04/04/2020,5,28,34,190.8,20,93,136,633.7,0.2,0.2,0,0,0,0,14675,60601-14,POINT (-87.622844 41.886262)
60601,15,04/05/2020,04/11/2020,5,33,34,224.9,38,131,259,892.7,0.1,0.2,0,0,0,0,14675,60601-15,POINT (-87.622844 41.886262)
60601,16,04/12/2020,04/18/2020,3,36,20,245.3,31,162,211,1103.9,0.1,0.1,1,1,6.8,6.8,14675,60601-16,POINT (-87.622844 41.886262)
60601,17,04/19/2020,04/25/2020,7,43,48,293,35,197,238,1342.4,0.1,0.1,1,2,6.8,13.6,14675,60601-17,POINT (-87.622844 41.886262)
60601,18,04/26/2020,05/02/2020,13,56,89,381.6,70,267,477,1819.4,0.2,0.2,1,3,6.8,20.4,14675,60601-18,POINT (-87.622844 41.886262)
60601,19,05/03/2020,05/09/2020,7,63,48,429.3,76,343,518,2337.3,0.1,0.1,1,4,6.8,27.3,14675,60601-19,POINT (-87.622844 41.886262)
60601,20,05/10/2020,05/16/2020,3,66,20,449.7,83,426,566,2902.9,0,0.1,0,4,0,27.3,14675,60601-20,POINT (-87.622844 41.886262)
60601,21,05/17/2020,05/23/2020,2,68,14,463.4,88,514,600,3502.6,0,0.1,0,4,0,27.3,14675,60601-21,POINT (-87.622844 41.886262)
60601,22,05/24/2020,05/30/2020,2,70,14,477,86,600,586,4088.6,0,0.1,0,4,0,27.3,14675,60601-22,POINT (-87.622844 41.886262)
60601,23,05/31/2020,06/06/2020,1,71,7,483.8,75,675,511,4599.7,0,0.1,1,5,6.8,34.1,14675,60601-23,POINT (-87.622844 41.886262)
60601,24,06/07/2020,06/13/2020,6,77,41,524.7,105,780,716,5315.2,0,0.1,0,5,0,34.1,14675,60601-24,POINT (-87.622844 41.886262)
60601,25,06/14/2020,06/20/2020,5,82,34,558.8,118,898,804,6119.3,0.1,0.1,0,5,0,34.1,14675,60601-25,POINT (-87.622844 41.886262)
60601,26,06/21/2020,06/27/2020,4,86,27,586,175,1073,1192,7311.8,0,0.1,0,5,0,34.1,14675,60601-26,POINT (-87.622844 41.886262)
60601,27,06/28/2020,07/04/2020,3,89,20,606.5,162,1235,1104,8415.7,0,0.1,0,5,0,34.1,14675,60601-27,POINT (-87.622844 41.886262)
60601,28,07/05/2020,07/11/2020,4,93,27,633.7,201,1436,1370,9785.3,0,0.1,0,5,0,34.1,14675,60601-28,POINT (-87.622844 41.886262)
60601,29,07/12/2020,07/18/2020,6,99,41,674.6,199,1635,1356,11141.4,0,0.1,0,5,0,34.1,14675,60601-29,POINT (-87.622844 41.886262)
60601,30,07/19/2020,07/25/2020,8,107,54,729.1,243,1878,1656,12797.3,0,0.1,0,5,0,34.1,14675,60601-30,POINT (-87.622844 41.886262)
60601,31,07/26/2020,08/01/2020,9,116,61,790.5,235,2113,1601,14398.6,0,0.1,0,5,0,34.1,14675,60601-31,POINT (-87.622844 41.886262)
60601,32,08/02/2020,08/08/2020,4,120,27,817.7,228,2341,1554,15952.3,0,0,0,5,0,34.1,14675,60601-32,POINT (-87.622844 41.886262)
60601,33,08/09/2020,08/15/2020,8,128,54,872.2,301,2642,2051,18003.4,0,0,0,5,0,34.1,14675,60601-33,POINT (-87.622844 41.886262)
60601,34,08/16/2020,08/22/2020,7,135,48,919.9,345,2987,2351,20354.3,0,0,0,5,0,34.1,14675,60601-34,POINT (-87.622844 41.886262)
60601,35,08/23/2020,08/29/2020,13,148,89,1008.5,421,3408,2869,23223.2,0,0,0,5,0,34.1,14675,60601-35,POINT (-87.622844 41.886262)
60601,36,08/30/2020,09/05/2020,14,162,95,1103.9,488,3896,3325,26548.6,0,0,0,5,0,34.1,14675,60601-36,POINT (-87.622844 41.886262)
60601,37,09/06/2020,09/12/2020,33,195,225,1328.8,1428,5324,9731,36279.4,0,0,0,5,0,34.1,14675,60601-37,POINT (-87.622844 41.886262)
60601,38,09/13/2020,09/19/2020,8,203,54,1383.3,325,5649,2215,38494,0,0,0,5,0,34.1,14675,60601-38,POINT (-87.622844 41.886262)
60601,39,09/20/2020,09/26/2020,8,211,54,1437.8,390,6039,2658,41151.6,0,0,1,6,6.8,40.9,14675,60601-39,POINT (-87.622844 41.886262)
60601,40,09/27/2020,10/03/2020,4,215,27,1465.1,391,6430,2664,43816,0,0,0,6,0,40.9,14675,60601-40,POINT (-87.622844 41.886262)
60601,41,10/04/2020,10/10/2020,7,222,48,1512.8,432,6862,2944,46759.8,0,0,0,6,0,40.9,14675,60601-41,POINT (-87.622844 41.886262)
60601,42,10/11/2020,10/17/2020,36,258,245,1758.1,764,7626,5206,51965.9,0,0,1,7,6.8,47.7,14675,60601-42,POINT (-87.622844 41.886262)
60601,43,10/18/2020,10/24/2020,27,285,184,1942.1,577,8203,3932,55897.8,0,0,0,7,0,47.7,14675,60601-43,POINT (-87.622844 41.886262)
60602,10,03/01/2020,03/07/2020,2.5,NA,200.96463022508038,NA,0,0,0,0,0,0,0,0,0,0,1244,60602-10,POINT (-87.628309 41.883136)
60602,11,03/08/2020,03/14/2020,2.5,NA,200.96463022508038,NA,0,0,0,0,0,0,0,0,0,0,1244,60602-11,POINT (-87.628309 41.883136)
60602,12,03/15/2020,03/21/2020,2.5,NA,200.96463022508038,NA,4,4,322,321.5,0,0,0,0,0,0,1244,60602-12,POINT (-87.628309 41.883136)
60602,13,03/22/2020,03/28/2020,2.5,NA,200.96463022508038,NA,3,7,241,562.7,0,0,0,0,0,0,1244,60602-13,POINT (-87.628309 41.883136)
60602,14,03/29/2020,04/04/2020,2.5,NA,200.96463022508038,NA,6,13,482,1045,0,0,0,0,0,0,1244,60602-14,POINT (-87.628309 41.883136)
60602,15,04/05/2020,04/11/2020,2.5,NA,200.96463022508038,NA,3,16,241,1286.2,0.3,0.3,0,0,0,0,1244,60602-15,POINT (-87.628309 41.883136)
60602,16,04/12/2020,04/18/2020,2,5,161,401.9,10,26,804,2090,0.2,0.3,0,0,0,0,1244,60602-16,POINT (-87.628309 41.883136)
60602,17,04/19/2020,04/25/2020,0,5,0,401.9,16,42,1286,3376.2,0.1,0.2,0,0,0,0,1244,60602-17,POINT (-87.628309 41.883136)
60602,18,04/26/2020,05/02/2020,0,5,0,401.9,8,50,643,4019.3,0.1,0.2,0,0,0,0,1244,60602-18,POINT (-87.628309 41.883136)
60602,19,05/03/2020,05/09/2020,3,8,241,643.1,22,72,1768,5787.8,0.1,0.2,0,0,0,0,1244,60602-19,POINT (-87.628309 41.883136)
60602,20,05/10/2020,05/16/2020,3,11,241,884.2,19,91,1527,7315.1,0.2,0.2,0,0,0,0,1244,60602-20,POINT (-87.628309 41.883136)
60602,21,05/17/2020,05/23/2020,2,13,161,1045,25,116,2010,9324.8,0.2,0.2,0,0,0,0,1244,60602-21,POINT (-87.628309 41.883136)
60602,22,05/24/2020,05/30/2020,0,13,0,1045,23,139,1849,11173.6,0,0.2,0,0,0,0,1244,60602-22,POINT (-87.628309 41.883136)
60602,23,05/31/2020,06/06/2020,0,13,0,1045,20,159,1608,12781.4,0,0.1,0,0,0,0,1244,60602-23,POINT (-87.628309 41.883136)
60602,24,06/07/2020,06/13/2020,0,13,0,1045,26,185,2090,14871.4,0.1,0.1,0,0,0,0,1244,60602-24,POINT (-87.628309 41.883136)
60602,25,06/14/2020,06/20/2020,0,13,0,1045,19,204,1527,16398.7,0,0.1,0,0,0,0,1244,60602-25,POINT (-87.628309 41.883136)
60602,26,06/21/2020,06/27/2020,1,14,80,1125.4,30,234,2412,18810.3,0,0.1,0,0,0,0,1244,60602-26,POINT (-87.628309 41.883136)
60602,27,06/28/2020,07/04/2020,1,15,80,1205.8,26,260,2090,20900.3,0.1,0.1,0,0,0,0,1244,60602-27,POINT (-87.628309 41.883136)
60602,28,07/05/2020,07/11/2020,2,17,161,1366.6,42,302,3376,24276.5,0,0.1,0,0,0,0,1244,60602-28,POINT (-87.628309 41.883136)
