ZIP Code,NAME,variable,estimate,moe
60601,ZCTA5 60601,medincome,103243,13212
60602,ZCTA5 60602,medincome,157125,69416
60603,ZCTA5 60603,medincome,151765,13671
60604,ZCTA5 60604,medincome,116250,85892
60605,ZCTA5 60605,medincome,111164,9852
60606,ZCTA5 60606,medincome,131477,21321
60607,ZCTA5 60607,medincome,93508,7100
60608,ZCTA5 60608,medincome,44043,2459
60609,ZCTA5 60609,medincome,35179,1596
60610,ZCTA5 60610,medincome,86803,5291
60611,ZCTA5 60611,medincome,103522,5676
60612,ZCTA5 60612,medincome,41300,2723
60613,ZCTA5 60613,medincome,82321,3210
60614,ZCTA5 60614,medincome,107461,4344
60615,ZCTA5 60615,medincome,44111,3557
60616,ZCTA5 60616,medincome,45997,3996
60617,ZCTA5 60617,medincome,40265,1801
60618,ZCTA5 60618,medincome,73810,2861
60619,ZCTA5 60619,medincome,33454,1925
60620,ZCTA5 60620,medincome,35890,1727
60621,ZCTA5 60621,medincome,20991,1743
60622,ZCTA5 60622,medincome,93988,3763
60623,ZCTA5 60623,medincome,31634,1044
60624,ZCTA5 60624,medincome,22992,1443
60625,ZCTA5 60625,medincome,64117,1984
60626,ZCTA5 60626,medincome,40591,1678
60628,ZCTA5 60628,medincome,40261,1648
60629,ZCTA5 60629,medincome,42019,1585
60630,ZCTA5 60630,medincome,72092,2997
60631,ZCTA5 60631,medincome,91034,5959
60632,ZCTA5 60632,medincome,42758,1954
60633,ZCTA5 60633,medincome,47083,7392
60634,ZCTA5 60634,medincome,66741,3566
60636,ZCTA5 60636,medincome,27310,1669
60637,ZCTA5 60637,medincome,28785,1537
60638,ZCTA5 60638,medincome,67984,3879
60639,ZCTA5 60639,medincome,44150,2224
60640,ZCTA5 60640,medincome,53831,1794
60641,ZCTA5 60641,medincome,60073,2088
60642,ZCTA5 60642,medincome,101939,8264
60643,ZCTA5 60643,medincome,64477,3104
60644,ZCTA5 60644,medincome,27262,2957
60645,ZCTA5 60645,medincome,53340,3934
60646,ZCTA5 60646,medincome,89480,7344
60647,ZCTA5 60647,medincome,73443,1703
60649,ZCTA5 60649,medincome,30222,3017
60651,ZCTA5 60651,medincome,38083,2201
60652,ZCTA5 60652,medincome,68425,4563
60653,ZCTA5 60653,medincome,29569,2483
60654,ZCTA5 60654,medincome,112699,11289
60655,ZCTA5 60655,medincome,97572,3254
60656,ZCTA5 60656,medincome,61599,3804
60657,ZCTA5 60657,medincome,92295,3219
60659,ZCTA5 60659,medincome,51383,2919
60660,ZCTA5 60660,medincome,49241,2012
60661,ZCTA5 60661,medincome,107245,7796
60707,ZCTA5 60707,medincome,57554,4872
60827,ZCTA5 60827,medincome,31954,1756
